,MSP,MLS,Energy,Mahalanobis
MSP,1.0,0.763,0.734,0.834
MLS,0.763,1.0,0.961,0.725
Energy,0.734,0.961,1.0,0.701
Mahalanobis,0.834,0.725,0.701,1.0
